"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C4","2","100NF","","","","generic package:C_2220","~"
"C2","1","2000UF","","","","","~"
"C3","1","1000UF","","","","","~"
"C5,C6,C7","3","1WUF","","","","","~"
"C8,C9,C22,C23","4","680PF","","","","","~"
"C10,C11,C12,C13,C18,C19,C20,C21","8","10UF","","","","","~"
"C14,C16","2","100NF","","","","","~"
"C15,C17","2","1K","","","","","~"
"CN1","1","~","","","","",""
"D1,D2,D3,D4","4","SBR12U100P5-13","","","","","~"
"D5","1","HER303","","","","","~"
"Q1","1","STP45NF06","","","","",""
"Q2,Q11","2","BC56PA-QX","","","","3rd package:BC56PA-QX",""
"Q3,Q10","2","BC53PA,115","","","","3rd package:BC53PA,115",""
"Q4,Q5,Q8,Q9","4","610","","","","",""
"Q6,Q7","2","9610","","","","",""
"R1,R8,R36","3","22.1K","","","","generic package:R_1206",""
"R2","1","4.7K","","","","generic package:R_1206",""
"R3,R11,R12,R13,R14,R16,R29,R30,R31,R32,R33","11","221","","","","generic package:R_1206",""
"R4,R5,R19,R24,R39,R40","6","10K","","","","generic package:R_1206",""
"R6,R37","2","3.32K","","","","generic package:R_1206",""
"R7,R20,R25,R38","4","100","","","","generic package:R_1206",""
"R9,R21,R23,R35","4","4.75K","","","","generic package:R_1206",""
"R10,R15,R28,R34","4","221K","","","","generic package:R_1206",""
"R17,R26","2","22.1","","","","generic package:R_1206",""
"R18,R27","2","33.1","","","","generic package:R_1206",""
"R22","1","2K","","","","generic package:R_1206",""
"R41","1","3.3","","","","generic package:R_1206",""
"ZD1,ZD2,ZD3,ZD4,ZD5,ZD6,ZD7,ZD8,ZD9,ZD10,ZD11","11","ZMY9V1-GS08","","","","3rd package:ZMY9V1-GS08",""
